Comment,Designator,Footprint,JLCPCB Part #
22uF,"C1,C6,C7",C0805,C784585
100nF,"C2,C10,C12,C13,C14,C15,C18",C0603,C14663
10uF,"C3,C8,C9",C0603,C96446
10uF,C4,C0603,C19702
4.7uF,C5,C0603,C19666
100nF,C11,C0402,C1525
1uF,"C17,C19,C20,C21",C0603,C106858
4.7nF,"C22,C23",C0603,C596328
2.2nF,"C24,C25,C26,C27",C0603,C16033
SMAJ5.0A,D1,SMA_L4.3-W2.6-LS5.2-RD,C83329
SS34,D3,SMA_L4.3-W2.6-LS5.2-RD,C8678
UPZ2012E221-3R0TF,"FB1,FB2,FB3,FB4",L0805,C154119
B-2100S02P-A110,"J1,J2",HDR-TH_2P-P2.54-V-M-1,C124375
4.7uH,L1,IND-SMD_L6.0-W6.0_SWPA6045S,C78804
143kΩ,R1,R0603,C22877
16kΩ,R2,R0603,C22818
5.1kΩ,"R3,R4,R7,R8",R0603,C23186
10kΩ,"R5,R6,R13,R14",R0603,C25804
82kΩ,R9,R0603,C325632
24.9kΩ,R10,R0603,C48391802
100kΩ,R11,R0603,C2073721
4.7kΩ,R12,R0402,C25900
2.4GHz,U1,WIFI-SMD_ESP32-WROOM-32E,C701345
AP2112K-3.3TRG1,U2,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,C51118
MP3426DL,U3,DFN-14_L4.0-W3.0-P0.50-BL-EP,C133224
TAS5805MPWPR,U4,HTSSOP-28_L9.7-W4.4-P0.65-LS6.4-BL-EP,C478472
LSM6DSOXTR,U5,LGA-14L_L3.0-W2.5-P0.50-TL,C481766
B-2100S06P-A110,UART_HDR,HDR-TH_6P-P2.54-V_Z-211-0611-0021-001,C124380
TYPE-C-31-M-12,USB_C,USB-C_SMD-TYPE-C-31-M-12_1,C165948
