Designator,Mid X,Mid Y,Layer,Rotation
C1,37.008mm,7.01mm,Top,0
C2,32.995mm,7.01mm,Top,0
C3,21.006mm,11.989mm,Top,90
C4,29.007mm,11.989mm,Top,90
C5,10.998mm,44.399mm,Top,0
C6,26.01mm,46.203mm,Top,90
C7,26.01mm,40.005mm,Top,0
C8,45.415mm,46.025mm,Top,0
C9,32.995mm,45.999mm,Top,0
C10,56.007mm,16.002mm,Top,90
C11,58.293mm,15.215mm,Top,90
C12,35.001mm,48.489mm,Top,0
C13,37.998mm,48.489mm,Top,0
C14,43.993mm,48.489mm,Top,0
C15,40.996mm,48.489mm,Top,0
C17,27.991mm,26.01mm,Top,0
C18,34.925mm,37.998mm,Top,0
C19,45.085mm,37.998mm,Top,0
C20,40.005mm,37.998mm,Top,0
C21,15.85mm,46.228mm,Top,180
C22,13.995mm,45.136mm,Top,0
C23,13.995mm,46.533mm,Top,0
C24,57.988mm,37.998mm,Top,0
C25,57.988mm,42.012mm,Top,0
C26,57.988mm,45.999mm,Top,0
C27,57.988mm,50.013mm,Top,0
D1,11.252mm,27.991mm,Top,90
D3,24.003mm,43.002mm,Top,180
FB1,54mm,37.998mm,Top,90
FB2,54mm,42.012mm,Top,90
FB3,54mm,45.999mm,Top,90
FB4,54mm,50.013mm,Top,90
J1,78.003mm,40.996mm,Top,180
J2,78.003mm,45.009mm,Top,180
L1,18.009mm,50.013mm,Top,0
R1,13.005mm,37.998mm,Top,0
R2,16.002mm,37.998mm,Top,0
R3,9.322mm,24.003mm,Top,90
R4,9.322mm,30.988mm,Top,90
R5,27.991mm,21.996mm,Top,0
R6,51.994mm,21.996mm,Top,0
R7,37.008mm,35.992mm,Top,90
R8,43.002mm,35.992mm,Top,90
R9,10.008mm,45.999mm,Top,0
R10,10.008mm,43.002mm,Top,0
R11,10.008mm,40.005mm,Top,0
R12,37.084mm,39.116mm,Top,90
R13,50.673mm,19.558mm,Top,270
R14,61.468mm,11.43mm,Top,0
UART_HDR,72.009mm,8.001mm,Top,0
USB_C,1.905mm,27.991mm,Top,270
U1,40.005mm,18.009mm,Top,0
U2,24.994mm,11.989mm,Top,90
U3,18.009mm,43.002mm,Top,180
U4,40.005mm,43.002mm,Top,0
U5,59.995mm,16.002mm,Top,270
